1722352551.388280 server started (32330): version 3.4, socket /private/tmp/tmux-501/default, protocol 8
1722352551.388346 on Darwin 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103
1722352551.388360 using libevent 2.1.12-stable select
1722352551.388374 using utf8proc 2.9.0
1722352551.388382 using ncurses 6.5 20240427
1722352551.388453 input_key_build: 0x10e003 (PasteStart) is \033[200~
1722352551.388464 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1722352551.388508 input_key_build: 0x10e195 (F1) is \033OP
1722352551.388517 input_key_build: 0x10e196 (F2) is \033OQ
1722352551.388525 input_key_build: 0x10e197 (F3) is \033OR
1722352551.388533 input_key_build: 0x10e198 (F4) is \033OS
1722352551.388541 input_key_build: 0x10e199 (F5) is \033[15~
1722352551.388548 input_key_build: 0x10e19a (F6) is \033[17~
1722352551.388556 input_key_build: 0x10e19b (F7) is \033[18~
1722352551.388564 input_key_build: 0x10e19c (F8) is \033[19~
1722352551.388571 input_key_build: 0x10e19d (F9) is \033[20~
1722352551.388579 input_key_build: 0x10e19e (F10) is \033[21~
1722352551.388586 input_key_build: 0x10e19f (F11) is \033[23~
1722352551.388594 input_key_build: 0x10e1a0 (F12) is \033[24~
1722352551.388602 input_key_build: 0x10e1a1 (IC) is \033[2~
1722352551.388609 input_key_build: 0x10e1a2 (DC) is \033[3~
1722352551.388617 input_key_build: 0x10e1a3 (Home) is \033[1~
1722352551.388624 input_key_build: 0x10e1a4 (End) is \033[4~
1722352551.388632 input_key_build: 0x10e1a5 (NPage) is \033[6~
1722352551.388640 input_key_build: 0x10e1a6 (PPage) is \033[5~
1722352551.388647 input_key_build: 0x10e1a7 (BTab) is \033[Z
1722352551.388655 input_key_build: 0x10e1a8 (Up) is \033[A
1722352551.388662 input_key_build: 0x10e1a9 (Down) is \033[B
1722352551.388670 input_key_build: 0x10e1aa (Left) is \033[D
1722352551.388677 input_key_build: 0x10e1ab (Right) is \033[C
1722352551.388685 input_key_build: 0x10e1ac (KP/) is /
1722352551.388693 input_key_build: 0x10e1ad (KP*) is *
1722352551.388700 input_key_build: 0x10e1ae (KP-) is -
1722352551.388708 input_key_build: 0x10e1af (KP7) is 7
1722352551.388715 input_key_build: 0x10e1b0 (KP8) is 8
1722352551.388725 input_key_build: 0x10e1b1 (KP9) is 9
1722352551.388732 input_key_build: 0x10e1b2 (KP+) is +
1722352551.388740 input_key_build: 0x10e1b3 (KP4) is 4
1722352551.388747 input_key_build: 0x10e1b4 (KP5) is 5
1722352551.388754 input_key_build: 0x10e1b5 (KP6) is 6
1722352551.388762 input_key_build: 0x10e1b6 (KP1) is 1
